BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,LOS,Indoor_Path,Outdoor_Path,RSRP
0.0,314.3,32.0,703.98,138.22,-3.8601,0.0,190.3,512.76,-86.961
0.0,59.0,32.0,471.43,142.5,-7.6714,1.0,0.0,470.91,-86.586
6.0,299.0,35.0,897.39,284.19,-1.1172,0.0,289.4,605.6,-124.09
0.0,59.0,32.0,1728.8,158.91,-2.5007,0.0,317.52,1410.4,-121.34
5.0,183.0,34.0,373.88,31.437,-6.1824,0.0,130.2,243.33,-84.586
0.0,68.0,34.0,1232.3,101.85,-2.95,0.0,289.99,938.92,-124.65
0.0,314.3,32.0,480.31,136.6,-5.1749,0.0,82.64,397.01,-78.711
0.0,58.0,28.0,291.61,302.11,-6.1653,0.0,3.4237,287.59,-77.586
1.0,297.0,29.0,1423.3,141.96,-2.3134,0.0,359.48,1062.2,-96.149
0.0,72.0,35.0,1613.7,311.16,0.053258,0.0,22.527,1588.5,-97.711
0.0,200.0,32.0,301.68,278.96,-5.3967,0.0,19.785,281.07,-93.399
0.0,200.0,32.0,1868.2,179.14,-2.1611,0.0,319.35,1548.5,-128.34
0.0,72.0,35.0,204.09,65.695,-9.8676,1.0,0.0,203.59,-82.149
0.0,309.0,32.0,725.72,313.55,-1.3025,1.0,0.0,724.62,-94.586
0.0,44.0,29.0,631.65,188.93,-3.3976,0.0,119.1,512.4,-87.149
6.0,299.0,35.0,1486.3,288.43,0.019275,0.0,536.65,945.84,-127.96
0.0,57.0,37.0,292.67,147.56,-7.3015,0.0,42.379,250.03,-93.524
0.0,57.0,37.0,279.73,204.27,-6.8291,0.0,94.185,185.36,-83.586
0.0,57.0,37.0,291.65,207.8,-6.3585,0.0,62.004,229.42,-78.086
0.0,57.0,37.0,412.24,228.34,-4.2314,0.0,14.373,397.16,-68.274
0.0,201.0,35.0,427.65,62.117,-4.8784,0.0,71.433,355.23,-70.586
0.0,314.3,32.0,1419.9,153.71,-2.1175,0.0,50.283,1368.7,-97.836
0.0,314.3,32.0,812.18,150.09,-3.3471,0.0,134.91,676.63,-87.961
5.0,183.0,34.0,1112.1,90.876,-3.0625,0.0,213.86,895.11,-119.96
0.0,319.0,32.0,944.85,97.847,-3.1199,0.0,348.97,593.25,-105.09
0.0,42.0,29.0,1512.7,257.01,-0.018951,0.0,66.382,1442.2,-106.96
0.0,59.0,32.0,1410.2,149.25,-2.9024,0.0,38.734,1370.4,-111.09
0.0,200.0,32.0,200.49,266.0,-9.486,0.0,26.351,173.57,-93.211
0.0,58.0,32.0,85.907,335.22,-20.722,0.0,24.391,61.465,-71.399
0.0,44.0,29.0,1277.6,101.93,-2.4875,0.0,268.39,1005.7,-126.21
0.0,152.0,29.0,670.59,162.92,-3.5413,0.0,149.39,520.96,-106.34
0.0,59.0,32.0,477.3,96.738,-7.814,1.0,0.0,475.96,-103.27
0.0,183.0,32.0,527.27,311.16,-2.118,0.0,169.01,357.4,-94.086
6.0,299.0,35.0,1475.8,340.48,-0.36884,0.0,13.428,1461.7,-123.46
0.0,41.6,32.0,204.59,113.93,-12.003,0.0,8.2149,195.89,-90.336
0.0,152.0,29.0,1055.0,305.39,0.13578,0.0,81.491,971.46,-102.59
0.0,319.0,32.0,368.06,153.71,-6.5868,0.0,2.0045,365.82,-64.836
0.0,301.0,34.0,245.45,345.85,-7.3132,0.0,83.65,161.72,-92.774
2.0,197.0,32.0,885.85,337.43,-1.455,0.0,223.79,661.59,-111.71
0.0,58.0,28.0,659.92,40.206,-3.4254,0.0,170.86,488.18,-93.649
0.0,183.0,32.0,1570.5,31.433,-1.6231,0.0,215.42,1353.6,-110.21
0.0,152.0,29.0,1346.5,257.0,-0.27658,0.0,85.177,1257.7,-118.21
0.0,319.0,32.0,1570.9,8.419,-0.16412,0.0,23.978,1546.6,-105.21
2.0,197.0,32.0,352.32,9.9703,-4.9477,0.0,25.886,326.34,-81.524
0.0,314.3,32.0,802.22,143.52,-3.4597,0.0,211.25,590.11,-95.899
6.0,299.0,35.0,837.29,329.58,-1.5393,0.0,271.93,564.69,-96.211
0.0,309.0,32.0,1055.9,333.51,-0.40698,0.0,232.58,822.6,-118.71
0.0,72.0,35.0,1803.8,336.65,0.36529,0.0,135.65,1667.1,-118.71
0.0,309.0,32.0,995.43,353.48,-0.94962,0.0,39.298,955.95,-97.774
0.0,58.0,28.0,1354.3,271.23,-0.27499,0.0,208.21,1142.3,-111.34
0.0,72.0,35.0,486.64,36.14,-4.1723,0.0,9.4938,476.59,-103.02
2.0,180.0,28.0,1539.4,341.64,0.20471,0.0,124.82,1414.0,-110.71
0.0,152.0,29.0,238.52,204.52,-8.2304,0.0,117.18,121.18,-98.399
0.0,310.0,32.0,710.09,20.528,-2.54,0.0,230.71,479.01,-108.09
0.0,58.0,32.0,1026.2,302.34,-0.30707,0.0,36.502,987.61,-117.02
0.0,152.0,29.0,828.27,234.58,-2.0398,0.0,206.83,619.79,-118.4
0.0,310.0,32.0,929.21,284.65,-0.77072,0.0,87.125,839.62,-122.02
0.0,309.0,32.0,996.47,40.564,-2.3848,0.0,165.42,829.71,-108.84
5.0,183.0,34.0,1603.4,78.816,-2.3035,1.0,0.0,1599.0,-99.211
0.0,200.0,32.0,606.9,160.76,-5.5058,0.0,73.562,533.08,-103.77
2.0,197.0,32.0,1016.8,55.7,-2.3371,0.0,272.94,741.81,-109.9
0.0,314.0,28.0,1350.7,281.4,-0.10605,0.0,126.52,1220.5,-116.96
0.0,183.0,32.0,1914.6,19.211,-0.91266,0.0,465.57,1448.1,-115.4
0.0,282.0,29.0,151.17,237.15,-12.133,0.0,28.959,121.9,-79.586
0.0,314.0,28.0,499.75,148.92,-4.9747,0.0,125.88,373.45,-82.336
5.0,183.0,34.0,1195.1,28.431,-1.4619,0.0,15.658,1178.5,-99.899
2.0,180.0,28.0,408.03,355.92,-4.554,0.0,136.29,271.67,-80.211
0.0,183.0,32.0,130.42,281.05,-13.993,0.0,57.158,72.905,-71.586
2.0,197.0,32.0,1512.6,348.83,-0.20831,0.0,268.07,1244.2,-121.52
6.0,299.0,35.0,1307.7,308.95,-0.37244,0.0,358.06,947.33,-128.21
2.0,197.0,32.0,843.95,300.79,-0.84857,0.0,2.7058,839.47,-113.02
0.0,282.0,29.0,1587.6,222.42,-1.1366,0.0,406.38,1179.0,-130.65
0.0,319.0,32.0,322.94,234.83,-6.2731,0.0,110.2,212.09,-92.711
0.0,314.0,28.0,1330.7,338.49,-0.064575,1.0,0.0,1330.1,-103.65
0.0,44.0,29.0,810.84,223.0,-1.8013,0.0,277.05,532.6,-101.52
0.0,310.0,32.0,1180.4,355.63,-0.89789,0.0,95.694,1084.5,-114.27
0.0,72.0,35.0,1659.9,313.0,0.12081,0.0,168.13,1489.2,-111.71
0.0,55.0,32.0,733.79,41.685,-3.0813,0.0,177.9,554.87,-113.02
0.0,72.0,35.0,731.04,249.33,-2.2326,1.0,0.0,729.18,-80.149
0.0,282.0,29.0,1040.0,269.83,-0.57843,0.0,294.17,742.88,-122.4
0.0,306.0,32.0,1669.9,208.47,-1.6293,1.0,0.0,1668.6,-101.4
0.0,57.0,37.0,884.59,238.97,-1.8453,0.0,307.27,575.39,-96.211
0.0,208.0,35.0,420.42,347.22,-3.8781,0.0,44.535,375.76,-85.899
1.0,297.0,29.0,794.19,82.839,-3.4227,0.0,94.157,697.8,-101.9
1.0,297.0,29.0,747.81,122.88,-3.6345,0.0,153.14,593.17,-89.899
1.0,297.0,29.0,712.68,114.98,-3.8131,0.0,76.09,634.93,-85.399
